name=Méthodes de paiements, model=account.payment.method.line, id=422, state=base
name=Niveau de Colisage, model=stock.package_level, id=479, state=base
name=Nomenclature de code-barres, model=barcode.nomenclature, id=143, state=base
name=Notifications par message, model=mail.notification, id=164, state=base
name=Objectif de ludification, model=gamification.goal, id=655, state=base
name=Objectif générique de ludification pour les défis, model=gamification.challenge.line, id=657, state=base
name=Obtenez le résultat de l'intégrité du hash au format PDF., model=report.account.report_hash_integrity, id=462, state=base
name=Obtenir le résultat de la vérication d'intégrité de la caisse française en PDF., model=report.l10n_fr_pos_cert.report_pos_hash_integrity, id=551, state=base
name=Option Modèle de devis, model=sale.order.template.option, id=579, state=base
name=Options de vente, model=sale.order.option, id=576, state=base
name=Page, model=website.page, id=601, state=base
name=Page des thèmes site web, model=theme.website.page, id=608, state=base
name=Pages visitées, model=website.track, id=613, state=base
name=Paiements au point de vente, model=pos.payment, id=533, state=base
name=Paramètre système, model=ir.config_parameter, id=37, state=base
name=Paramètres de config, model=res.config.settings, id=90, state=base
name=Paramètres utilisateur, model=res.users.settings, id=181, state=base
name=Paramétrage du point de vente, model=pos.config, id=527, state=base
name=Paramétrage du portail utilisateur, model=portal.wizard.user, id=374, state=base
name=Partage du portal, model=portal.share, id=372, state=base
name=Partner mapping for reconciliation models, model=account.reconcile.model.partner.mapping, id=410, state=base
name=Partner with additional information for mail resend, model=mail.resend.partner, id=205, state=base
name=Payment Refund Wizard, model=payment.refund.wizard, id=521, state=base
name=Pays, model=res.country, id=77, state=base
name=Pièce jointe, model=ir.attachment, id=28, state=base
name=Pièces/Billets, model=pos.bill, id=535, state=base
name=Planificateur d'email d'inscription, model=event.mail.registration, id=584, state=base
name=Planification d'e-mails en fonction de la catégorie d'évènement, model=event.type.mail, id=582, state=base
name=Point de Vente Faire un paiement, model=pos.make.payment, id=539, state=base
name=Point of Sale Details, model=report.advanced_pos_reports.report_pos_saledetails, id=646, state=base
name=Point of Sale Details User Report, model=pos.sale.details.wizard, id=642, state=base
name=Point of Sale Ongoing Session Report, model=pos.sale.ongoing.wizard, id=644, state=base
name=Point of Sale Posted Session Report, model=pos.sale.posted.wizard, id=645, state=base
name=Point of Sale Top Selling Product/Category/Customer Report, model=pos.sale.top.selling, id=643, state=base
name=Position fiscale, model=account.fiscal.position, id=394, state=base
name=Propriété de la société, model=ir.property, id=63, state=base
name=Précision décimale, model=decimal.precision, id=103, state=base
